artist_id,name,note,role_count,roles
7,张云柯,,1,彩票迷
8,蔡缤,,1,张庆生
16,金圣权,,11,哈姆雷特 / 穆尘 / 德米特里 / 高觉新 / 蒋牧歌 / 皮埃尔 / 李二狗 / 王一民 / 常卫国 / 苏郁 / 罗切斯特
17,郑棋元,,7,克劳狄斯 / 程婴 / 宋丹萍 / 李想 / 何非 / 王卫国 / 高启强
18,朱梓溶,,2,葛楚德 / 程妻
19,朱芾,,7,葛楚德 / EMMA / 晋国公主 / Mandy / 戴安娜 / 长公主 / 李宁玉
20,余思冉,,17,奥菲莉娅 / 女神 / Pluto / 朱丽叶 / WOMAN1 / 玛丽亚 / 乔安 / 三圣母 / 辛克莱 / 伊谷夏 / 艾蒂丝 / 幸存者 / 武明空 / ABBEY / 格雷琴 / Anna / 简·爱
21,林润欣,,12,奥菲莉娅 / ALICE / 薛宝钗/有缘人 / 白狐 / 黛尔德拉 / 贝拉 / 李玉屏 / 向阳 / 阿玖 / 黛娜&玛莎 / 石瑶 / 上官婉儿
22,庞盛之,,6,波洛涅斯 / Jason / 所有嫌疑犯 / 公孙杵臼 / 吉米·马丁 / 丁钾
23,赵禹钧,,12,波洛涅斯 / 老哈姆雷特灵魂 / 张纮 / 公孙杵臼 / 王天风 / 尼姆 / 丹 / 炳三 / 闫先生 / 贾政/有缘人 / 老鳖 / 斯蒂芬&费尔南多
24,胡超政,,9,赖尔蒂斯 / 高宫诚 / 巴兹尔·霍尔沃德 / 魏绛 / 超 / 向晓辉 / X-光明 / 周瑜 / Hans
25,徐泽辉,,17,赖尔蒂斯 / 怀恩 / 奥尔森 / MAN1 / 李煜 / 罗密欧 / 哈姆雷特 / 杨戬 / 威廉 / 江清源 / 汉王 / 理查德 / 高景行 / 伊万 / 丹尼尔 / 穗生 / 白老师
26,胡芳洲,,11,老哈姆雷特灵魂 / 丁宁 / 李景遂 / 父亲/博士 / 铃木 / 大金乌 / 侯公公 / 贾政/有缘人 / 姜大海 / 降临道令 / 郭婆带
27,殷浩伦,,9,霍瑞修 / 乔班尼 / 陆光 / 李功一 / 莫德雷/奥德修斯 / 奥尔森 / Alex / 托里 / 武耀
28,刘锦,,1,霍瑞修
29,阿云嘎,,4,魅影 / 埃德蒙 / 肥原龙川 / 吴志国
30,刘令飞,,14,魅影 / 大庭叶藏 / 太宰治 / 桐原亮司 / 辛克莱 / 伊万 / 理查德 / 内森 / 老白 / 1900 / 玉旨一郎 / HEDWIG / 高启强 / 肥原龙川
31,何亮辰,,10,魅影 / 尤金 / 屠岸贾 / 魏绛 / 莫顿 / 安德烈 / 王一民 / 丘神纪 / 郑一 / 肥原龙川
32,杨陈秀一,,1,克里斯汀·戴伊
33,潘杭苇,,3,克里斯汀·戴伊 / 盖亚 / 芸娘
34,林韶,,1,克里斯汀·戴伊
35,赵超凡,,10,劳尔·沙尼子爵 / MAN1 / 明台 / 白鸽 / 埃德蒙 / 汤川学 / 约翰·浮士德 / 齐乐山 / 林深 / 吴起铭
36,马添龙,,6,劳尔·沙尼子爵 / 梁德荣 / 魅影 / 莫顿 / 王一民 / 聂律师
37,李宸希,,7,劳尔·沙尼子爵 / 李白 / 谢雁 / 费尔南 / 谢平遥 / 王宁父亲 / 剑臣
38,周孟涛,,1,卡洛塔·朱迪切利
39,杨丽莹,,1,卡洛塔·朱迪切利
40,李忻润,,1,乌巴尔多·皮安吉
41,王峙儒,,3,费尔曼先生 / 斯吉瓦 / 金生火
42,吴勃臻,,9,安德烈先生 / 李队 / 董事长 / 马梦得 / 郑千里 / 赵显坤 / 老鳖 / 玄宗 / 黑衣人
43,陈沁,,5,吉瑞夫人 / 阿珍 / 高淑平 / 钵里公主 / 神婆
44,樊苏颐,,5,梅格·吉瑞 / 戴望星 / 莫丹华 / 夜凌霄 / 云清
81,郑欣闻笛,,1,李瑞珏
95,夏振凯,,11,梁德荣 / 赵显坤 / 维尔福 / 伽利略 / 李伟民 / 刘玉堂 / 孔洙 / 姚远 / 齐乐山 / 苏东坡 / 肥原龙川
96,徐瑶,,9,郑若兰 / 蒋歌 / 漼时宜 / 梅茜苔丝 / 花冈靖子 / 秦岚 / 女神 / 如花 / 顾小梦
97,蔡忻如,,13,郑若兰 / 吴夫人 / 狄俄尼索斯 / 南妮尔·莫扎特 / ALICE / 皓如 / 陈麦/沈曼 / 艾米&老板娘 / 梅瑞狄斯 / 拉斐尔 / 海伦 / 柳絮影 / 太平公主
98,崔秀丽,,7,琴心 / 王小亚 / 姜落声 / 尹心惪 / 伊谷夏 / 茱莉娅 / 周会珍
99,方芳,,1,琴心
100,孙尧,,1,梁二娣
101,常进,,3,梁二娣 / 陈华顺 / 李振兴
102,赵穆宸,,12,陈华顺 / 张总 / 黑狐 / 列车长 / 斯吉瓦 / 老板 / 蒋牧守/原野 / 董事长 / 齐乐山 / 张首席 / 姜宁 / 玉旨一郎
103,王博文,,2,李舜元 / 黎明
104,黄天宇,,11,胡永贵 / 黄盖 / 曹操 / 阿财 / 王安石 / 吴修竹 / 陈记者 / 张良 / 老黄 / 王克航 / 启玄子
105,刘一谷,,9,杨天奇 / Stevie / 巴萨尼奥 / 赵嘉明 / Chi Chi / 飞龙 / Doris / Lucas / 张衡
106,许乐,,4,混天龙 / 咸鱼强 / 许连城 / Klabb
107,梁文瀚,,1,混天龙
109,黄渤,,1,蝙蝠
137,潘斌龙,,1,蝙蝠
138,单冠朝,,3,蝙蝠 / 黑衣人 / 金生火
139,周可人,,4,马进 / 小兴 / NoVA / 马库斯警官
140,傲日其愣,,1,马进
141,王天放,,1,马进
142,蓝盈莹,,1,姗姗
143,严小北,,19,姗姗 / LIZZIE / 艾丽莎 / 拉拉 / 娜塔莉 / 梅依 / 洙英 / 乔暖暖 / 思诺 / 琳 / 贝拉 / 戴望星 / Mary / 陆安宁 / PB / 乔安娜 / 红莲 / 苍 / 大顺凡
144,陆宇鹏,,6,小兴 / 孙晓鸥 / 这个男的 / 付平安 / 浩宇 / 刘文山
145,张伦硕,,1,张总
146,姜昊旻,,1,张总
147,周国帅,,7,小王 / 米店沈老板 / 小烟囱 / 王爷 / 丧坤 / 多功能 / 陆成音
148,张祐维,,1,小王
169,王艺瑾,,1,苏筱
