类别,第1人,第2人,缺失方,第1人更正后,第2人更正后
已婚,钟舜傲,赵路君,赵路君,,
已婚,宗俊涛,丁珊珊,丁珊珊,,
已婚,施哲明,邓美洁,邓美洁,,
已婚,胡阳,贺梦娇,胡阳、贺梦娇,,
已婚,李梓溪,蒋运,蒋运,,
已婚,周靖杰,郑婉宸,郑婉宸,,
已婚,武阳坤,李嘉琪,李嘉琪,,
已婚,徐步超,王品媗,王品媗,,
已婚,饶晓志,程怡,饶晓志、程怡,,
已婚,王琼,崔健,王琼,,
已婚,倪晔,麦朵,麦朵,,
已婚,李艳超,张忐,李艳超、张忐,,
已婚,黄冠崧,王彦淋,黄冠崧、王彦淋,,
已婚,刘乙萱,赵之文,赵之文,,
已婚,刘岩,班越,班越,,
已婚,刘爽,张飞铖,张飞铖,,
已婚,王骏迪,孙红雷,孙红雷,,
已婚,李嘉龙,王小欢,李嘉龙、王小欢,,
已婚,李幼斌,史兰芽,李幼斌、史兰芽,,
已婚,刘思维,钟雪娇,钟雪娇,,
已婚,陈炳睿,杨铮,陈炳睿、杨铮,,
已婚,刘晓音,上官俊雄,刘晓音,,
已婚,王梓庭,孙彪,孙彪,,
情侣,曹牧之,李昕怡,李昕怡,,
情侣,崔恩尔,蒋奇明,蒋奇明,,
情侣,曹昀辰,黎珂儿,曹昀辰,,
情侣,孙欣业,张馨文,张馨文,,
情侣,谢馨仪,崔小宝,崔小宝,,
情侣,李思妤,吴云朝,李思妤、吴云朝,,
情侣,徐铭聪,张功浩,张功浩,,
情侣,阿炳,黄呈欣,阿炳、黄呈欣,,
已分手前任,吴以涵,冯鑫垚,吴以涵,,
已分手前任,郭嘉轩,马赛,马赛,,
已分手前任,纪晓坤,李博雅,李博雅,,
已分手前任,赵凡嘉,马婕,马婕,,
已分手前任,姜嵋,王琳瑶,姜嵋,,
已分手前任,冯文彦,林溪儿,林溪儿,,
