artist_id,姓名,昵称,生日,学校,专业,籍贯,入学年份,身高,备注
843,牛博为,,,,,,,,
315,周波,,,,,,,,
957,温升宝,,,,,,,,
864,周靖杰,,,,,,,,
752,朱家鹏,,,,,,,,
1842,张书豪,,,,,,,,
2224,林梦圆,,,,,,,,
478,夏阳,,,,,,,,
605,李信,,,,,,,,
2223,孙晶俐,,,,,,,,
289,周文嘉,,,,,,,,
842,郝李英杰,,,,,,,,
2219,谭建业,,,,,,,,
761,高尔金宝音,,,,,,,,
677,廖婧媛,,,,,,,,
304,徐步超,,,,,,,,
858,曾鑫,,,,,,,,
333,刘阳,,,,,,,,
680,智博闻,,,,,,,,
1085,于梦滢,,,,,,,,
2221,杨雨婷,,,,,,,,
857,脱骁尧,,,,,,,,
908,陈旭茂,,,,,,,,
960,尹智博,,,,,,,,
984,李坤嘉,,,,,,,,
853,郭洧江,,,,,,,,
2451,周一男,,,,,,,,
143,严小北,,,,,,,,
298,刘官卫,,,,,,,,
959,董豫辰,,,,,,,,
268,吴俊鹏,,,,,,,,
981,张鑫澳,,,,,,,,
856,杨宇威,,,,,,,,
964,宋凯文,,,,,,,,
2228,田恬,,,,,,,,
2020,王珏语涵,,,,,,,,
430,江泽辰,,,,,,,,
294,张琦铭,,,,,,,,
2226,殷赫阳,,,,,,,,
3071,张梁,,,,,,,,
213,傅祥安,,,,,,,,
863,唐浩瑜,,,,,,,,
1370,宋周鑫,,,,,,,,
1780,朱羿达,,,,,,,,
2179,郑金铠,,,,,,,,
909,薛尚文,,,,,,,,
572,施天玮,,,,,,,,
828,张智伟,,,,,,,,
1305,张琛,,,,,,,,
224,李泽熙,,,,,,,,
