时间,城市,音乐剧,角色,剧院
2023-08-30 19:30,杭州,南孔,孔柳,运河大剧院歌剧厅
2023-09-06 19:30,衢州,南孔,孔柳,衢州保利大剧院大剧场
2023-09-13 19:30,北京,南孔,孔柳,中央歌剧院剧场
2023-11-04 19:30,杭州,南孔,孔柳,运河大剧院歌剧厅
2023-12-10 19:30,衢州,南孔,孔柳,衢州保利大剧院大剧场
2024-04-06 19:30,上海,南孔,孔柳,上海大剧院大剧场
2024-04-21 19:30,南通,南孔,孔柳,海门大剧院
2024-04-27 19:30,泰州,南孔,孔柳,泰州大剧院
2024-05-11 19:30,温州,南孔,孔柳,温州大剧院歌剧厅
2024-05-14 20:00,福州,南孔,孔柳,福州海峡文化艺术中心-歌剧厅
2024-05-17 20:00,珠海,南孔,孔柳,珠海大剧院歌剧厅
2024-05-20 20:00,南宁,南孔,孔柳,广西文化艺术中心大剧院
2024-09-21 14:30,上海,南孔,孔柳,上海保利大剧院大剧场
2024-09-22 14:30,上海,南孔,孔柳,上海保利大剧院大剧场
2024-09-28 19:00,衢州,南孔,孔柳,衢州保利大剧院大剧场
2025-03-29 19:30,杭州,南孔,孔柳,运河大剧院歌剧厅
2025-04-05 19:30,苏州,南孔,孔柳,昆山文化艺术中心
2025-04-08 19:30,郑州,南孔,孔柳,河南艺术中心
2025-04-11 19:30,南通,南孔,孔柳,启东保利大剧院
2025-04-22 19:30,无锡,南孔,孔柳,宜兴保利大剧院
2025-05-12 19:30,潍坊,南孔,孔柳,潍坊大剧院
2025-05-15 19:30,呼和浩特,南孔,孔柳,内蒙古乌兰恰特
2025-06-05 19:30,苏州,南孔,孔柳,张家港保利大剧院
2025-06-08 19:30,合肥,南孔,孔柳,合肥大剧院歌剧厅
2025-07-25 19:30,宁波,南孔,孔柳,天然舞台大剧场
2025-07-26 19:30,宁波,南孔,孔柳,天然舞台大剧场
2025-08-22 19:30,宁波,南孔,孔柳,余姚大剧院
2026-02-06 19:30,杭州,南孔,孔柳,杭州剧院
2026-02-07 19:30,杭州,南孔,孔柳,杭州剧院
2026-03-22 19:30,榆林,南孔,孔柳,榆林大剧院
2026-04-03 19:30,淮安,南孔,孔柳,淮安大剧院
2026-04-06 19:30,常熟,南孔,孔柳,常熟大剧院
2026-04-09 19:30,南昌,南孔,孔柳,南昌保利大剧院
2026-04-12 19:30,赣州,南孔,孔柳,赣州大剧院
2026-04-15 19:30,衡阳,南孔,孔柳,衡阳保利大剧院
2026-04-21 19:30,吉安,南孔,孔柳,吉安保利大剧院
