relation_id,type,actor_a,actor_b,detail,source,status,co_shows
1,CP,徐杭,吴志军,军杭,user,approved,147
2,CP,吴志军,赵钱龙,钱军出击,user,approved,145
3,CP,翟松,钟嘉诚,钟嘉夜,user,approved,28
4,CP,叶麒圣,徐丽东,叶东,user,approved,27
5,CP,钟嘉诚,赵伟钢,钢好真路,user,approved,17
6,CP,郭嘉轩,钟嘉诚,钟花,user,approved,19
7,CP,毛二,徐昊,昊耀,user,approved,77
8,CP,汤佳明,许昌泰,国泰明安,user,approved,71
9,CP,张智涵,徐杭,太杭,user,approved,62
10,CP,张泽,叶麒圣,叶泽,user,approved,0
11,CP,张智涵,邵玎,太打,user,approved,95
12,CP,钟嘉诚,邵立君,君诚99,user,approved,45
13,CP,相征,汤佳明,相汤,user,approved,53
14,CP,纪晓坤,汤佳明,汤纪,user,approved,112
15,CP,祝颂皓,李苏霖,祝苏,user,approved,53
16,CP,张沁丹,胥子含,丫蛋,user,approved,91
17,CP,赵洪博,余镇鳌,卜鳌,user,approved,76
18,CP,郑艺彬,白倬铭,丿彬,user,approved,48
19,CP,姜崃,朱亮,闪崃,user,approved,138
20,CP,徐昊,李苏霖,昊苏,user,approved,44
21,CP,王培杰,冒海飞,瑙,user,approved,103
22,CP,陈玉婷,丁辰西,婷西,user,approved,71
23,CP,高杨,张会芳,羊芳,user,approved,92
24,CP,毛二,钟嘉诚,钟二病,user,approved,25
25,CP,于晓璘,冒海飞,冒村,user,approved,48
26,CP,徐佳文,邵立君,文君,user,approved,49
27,CP,徐佳文,吴盛祥,文锌,user,approved,58
28,CP,钟嘉诚,钟舜傲,双钟,user,approved,33
29,CP,王瀚宇,白倬铭,丿重,user,approved,15
30,CP,王敏辉,白倬铭,丿娟,user,approved,41
31,CP,赵雨卉,邓贤凌,邓卉,user,approved,81
32,CP,郑艺彬,高雨晨,彬高,user,approved,20
33,CP,刘令飞,钟嘉诚,飞诚,user,approved,32
34,CP,赵奕然,刘朱烨,烨奕,user,approved,25
35,CP,薛钦元,刘子赫,刘薛,user,approved,47
36,CP,邵奕磊,李存贤,楠贤,user,approved,45
37,CP,于滨嘉,李珏,黑珏,user,approved,48
38,CP,卢翰林,邱俊阳,卢邱,user,approved,28
39,CP,毛二,汤佳明,汤猫,user,approved,24
40,CP,朱亚洲,施博威,bo朱,user,approved,51
41,CP,余镇鳌,许昌泰,余许,user,approved,25
42,CP,赵雨卉,胥子含,丫卉,user,approved,51
43,CP,余镇鳌,叶宇锋,锋里余里,user,approved,37
44,CP,尤宣程,龙一豪,尤龙,user,approved,20
45,CP,蔡淇,王敏辉,娟心蔡,user,approved,90
46,CP,余思冉,崔恩尔,恩冉,user,approved,21
47,CP,金圣权,高杨,权超羊,user,approved,20
48,CP,高杨,张超,权超羊,user,approved,0
49,CP,金圣权,张超,权超羊,user,approved,0
50,CP,高雨晨,叶筱玮,穹顶第一初恋,user,approved,16
51,CP,郭虹旭,纪晓坤,纪旭,user,approved,44
52,CP,郭虹旭,王敏辉,香娟,user,approved,42
53,CP,徐瑶,蒋倩如,情瑶,user,approved,46
54,CP,赵奕然,卢翰林,卢赵,user,approved,31
55,CP,汤佳明,邵立君,你的眼里只有朗和汤勺,user,approved,7
56,CP,沈育奇,叶宇锋,沈叶,user,approved,42
57,CP,薛钦元,孙一城,多元,user,approved,38
58,CP,徐昊,汤佳明,昊汤,user,approved,11
59,CP,王瀚宇,王敏辉,娟玉,user,approved,25
60,CP,王瀚宇,祝颂皓,歪祝,user,approved,37
61,CP,诸葛北辰,薛钦元,传祺,user,approved,6
62,CP,徐杭,郑艺彬,杭彬,user,approved,2
63,CP,叶嘉雯,赵嘉艳,烟叶,user,approved,26
64,CP,张沁丹,赵嘉艳,烟熏蛋,user,approved,39
65,CP,郑艺彬,赵凡嘉,心动嘉彬,user,approved,47
66,CP,赵伟钢,白倬铭,丿钢,user,approved,24
67,CP,蔡淇,纪晓坤,鸡毛菜,user,approved,2
