artist_id,name,shows,musicals
478,夏阳,9528,19
143,严小北,6327,19
304,徐步超,5096,13
315,周波,4906,10
864,周靖杰,4896,12
605,李信,4740,11
677,廖婧媛,4488,12
572,施天玮,4304,16
213,傅祥安,4260,15
289,周文嘉,3910,10
843,牛博为,3824,8
959,董豫辰,3816,12
761,高尔金宝音,3770,9
2451,周一男,3674,11
858,曾鑫,3640,10
298,刘官卫,3586,11
294,张琦铭,3504,11
842,郝李英杰,3474,8
857,脱骁尧,3450,10
268,吴俊鹏,3421,9
1769,王款儿,3388,13
312,刘牧,3312,11
1082,王桓,3289,13
752,朱家鹏,3240,7
430,江泽辰,3223,9
333,刘阳,3213,9
713,赵毅劼,3080,11
603,李卓远,2976,12
1399,张铎,2940,14
1625,周宇杰,2912,13
2639,陈壬权,2850,13
26,胡芳洲,2838,11
321,卓群,2821,12
2876,褚威,2816,9
570,白一博,2772,12
1019,刘明明,2772,7
302,杜航,2750,8
908,陈旭茂,2728,8
960,尹智博,2720,6
964,宋凯文,2718,9
2020,王珏语涵,2700,9
499,孙乐仟,2684,9
828,张智伟,2670,10
23,赵禹钧,2532,11
1780,朱羿达,2520,9
219,李梓溪,2519,11
1918,尤宣程,2492,12
981,张鑫澳,2480,7
1085,于梦滢,2443,7
894,田梦,2420,11
750,江东旭,2405,12
1018,李子涵,2400,8
853,郭洧江,2359,7
42,吴勃臻,2268,8
666,诸葛北辰,2256,11
275,申霓,2255,11
278,于佳鑫,2244,12
97,蔡忻如,2236,13
314,毛寅东,2200,10
680,智博闻,2136,5
1305,张琛,2136,8
224,李泽熙,2120,8
957,温升宝,2090,4
1188,潘龙,2080,9
2950,黄思惟,2040,10
571,马灵奇,2016,8
479,曹珺,2013,11
2648,巴文豪,1992,8
965,元佳辰,1984,7
863,唐浩瑜,1981,7
1370,宋周鑫,1974,6
427,白瀚祥,1971,8
1080,钟子崴,1970,9
834,曹小欠儿,1884,11
178,郝晓辉,1848,11
296,刘政,1845,8
2181,王博睿,1820,7
1169,赵嘉恒,1792,7
1262,毋子玥,1760,11
286,湛嘉丽,1749,11
1084,王玙璠,1744,8
3071,张梁,1728,6
1404,高天鹤,1716,9
988,刘秫呈,1708,7
3285,陈政宇,1708,6
226,崔承宇,1700,10
859,张毅凯,1688,7
676,许放星,1680,7
985,梁宵默,1674,9
782,姜呈洋,1672,7
909,薛尚文,1656,6
303,刘钊,1640,7
105,刘一谷,1611,8
1012,李佳音,1610,6
1126,陈姝月,1610,10
221,蛋蛋,1593,9
317,朱涵彬,1590,6
1846,武冠辰,1590,6
95,夏振凯,1562,11
3132,杨浩然,1561,7
222,徐奕然,1560,9
316,饶恒宇,1560,9
2007,汤邵文,1551,9
307,罗玉玲,1547,7
962,车鸣笛,1542,6
1189,马海生,1530,9
242,丁伟,1529,10
2282,樊哲,1528,7
856,杨宇威,1525,5
2219,谭建业,1516,3
301,张旭辰,1488,11
987,张艺,1480,8
3201,黄圣淇,1460,8
1898,张弋,1440,7
970,韩佳旭,1432,8
620,米晨晨,1428,13
19,朱芾,1421,7
772,陈棋尔,1416,8
3384,孙义清,1404,8
685,暴晓萱,1393,7
967,孙博,1379,7
3234,郭之阳,1377,9
984,李坤嘉,1356,4
3174,叶锐,1350,6
291,刘晓,1340,9
102,赵穆宸,1332,11
496,丁辉,1320,11
1190,覃一凡,1320,8
1508,王靖棋,1314,7
975,王世鑫,1308,6
2896,白子涵,1242,9
1210,赵凡嘉,1240,7
229,恩妤,1236,6
282,王子浠,1233,8
755,丁宇佳,1216,8
2110,欧阳乔子,1216,8
983,曾阵,1215,5
1842,张书豪,1215,2
17,郑棋元,1211,7
217,孙金瀚,1190,5
2165,王炳,1176,7
2871,田祥晔,1176,7
698,王壹,1170,6
602,王帅,1164,6
2094,赵晏伯,1143,9
2622,冯镝霏,1127,7
2179,郑金铠,1116,4
855,赵霄汉,1115,5
3239,蒲铖,1107,9
1088,连江维,1105,5
1779,庞东轩,1104,8
2573,张嘉豪,1100,4
1089,高旭,1099,6
322,毛珏懿,1096,7
901,井彦乔,1096,8
3247,黄玟宇,1074,5
1029,潘蕾蕾,1060,10
1541,武阳坤,1055,5
3366,何严浩,1050,5
2572,郭珍艳,1040,4
43,陈沁,1030,5
1408,董志勇,1017,8
626,王明怡,1015,7
3166,韩冰儿,1001,7
1506,王嘉,980,7
3405,林子兴,978,6
3232,栾靖宇,976,8
177,孙葛川野,968,8
1091,唐超,932,4
2216,杨闫乐,930,7
784,李泽晨,928,6
1608,娄睿,924,7
210,姜均,915,5
1087,郭俊宇,915,5
295,张云轩,912,5
2228,田恬,906,3
1796,宗雪健,905,4
715,周惠怡,904,8
974,杜皓云,904,8
1768,刘晓燕,900,6
2364,范可妮,896,5
1540,李金哲,888,6
2440,华英杰,880,7
22,庞盛之,876,6
2012,刘羿含,870,6
104,黄天宇,869,9
1754,申帅,865,4
2537,张家祺,858,6
762,吕润桐,856,8
1706,席同歌,856,7
3604,王喆,850,9
907,沈恬,848,4
607,张腾,846,6
753,杨映宇,846,5
1577,于洋,840,11
1539,卞佳平,834,6
1627,陈韬,830,5
3621,杨悦,828,8
265,姜彬,816,7
1863,徐蜜聪,816,6
3238,陈蕴,800,7
3246,张雨桐,798,7
774,孙叶雨,786,6
1208,付翔,786,6
2023,黄湙云,784,8
2223,孙晶俐,784,1
2539,罗明晖,784,7
3208,邓茹月,775,5
1257,代玮,774,9
323,邹子月,763,6
3296,安吉儿,760,4
1173,苗梦初,752,8
978,杜舟,750,5
